City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Wind Speed
201,Muros,ES,2023-03-30 18:52:37,42.7762,-9.0603,61.09,89,22.35
202,Tulun,RU,2023-03-30 19:01:44,54.5611,100.5792,24.6,86,16.98
203,Zachary,US,2023-03-30 19:01:44,30.6485,-91.1565,80.67,42,9.51
204,Tuatapere,NZ,2023-03-30 19:01:44,-46.1333,167.6833,40.75,91,4.21
205,San Quintin,MX,2023-03-30 18:53:50,30.4833,-115.95,59.09,57,14.99
206,Nikolskoye,RU,2023-03-30 19:01:44,59.7035,30.7861,26.49,99,4.38
207,Baljevac,BA,2023-03-30 19:01:45,44.8206,15.7799,45.41,90,5.84
208,Riyadh,SA,2023-03-30 19:00:17,24.6877,46.7219,80.74,21,17.4
209,Gangarampur,IN,2023-03-30 19:01:45,25.4,88.5167,76.91,62,10.38
210,Nabire,ID,2023-03-30 19:01:47,-3.3667,135.4833,74.52,93,2.57
211,Codajas,BR,2023-03-30 19:01:47,-3.8367,-62.0569,80.22,93,3.47
212,Honningsvag,NO,2023-03-30 19:01:47,70.9821,25.9704,28.15,93,10.36
213,Amiens,FR,2023-03-30 19:00:27,49.9,2.3,54.59,86,11.83
214,Mana,GF,2023-03-30 19:01:47,5.6592,-53.7767,82.49,68,10.31
215,Puerto Lopez,CO,2023-03-30 19:01:47,4.0845,-72.956,91.62,39,10.65
216,Tefe,BR,2023-03-30 19:01:48,-3.3542,-64.7114,86.11,74,3.44
217,Tessalit,ML,2023-03-30 19:01:48,20.1986,1.0114,85.26,6,11.63
218,Shingu,JP,2023-03-30 19:01:48,33.7333,135.9833,50.5,77,3.2
219,Aginskoye,RU,2023-03-30 19:01:48,51.1,114.53,39.45,63,6.26
220,Grand Island,US,2023-03-30 18:59:15,40.925,-98.342,65.28,59,19.57
221,Haines Junction,CA,2023-03-30 19:01:49,60.7522,-137.5108,22.95,63,1.14
222,Garden City,US,2023-03-30 19:00:50,42.3256,-83.331,46.78,43,5.01
223,Kavieng,PG,2023-03-30 19:01:49,-2.5744,150.7967,79.23,81,12.48
224,Nemuro,JP,2023-03-30 19:01:49,43.3236,145.575,37.9,89,17.47
225,Dunedin,NZ,2023-03-30 19:00:21,-45.8742,170.5036,48.31,95,2.24
226,Svetlogorsk,BY,2023-03-30 19:01:49,52.6333,29.7333,27.32,93,6.35
227,Aasiaat,GL,2023-03-30 19:01:50,68.7098,-52.8699,-5.17,90,4.21
228,Thompson,CA,2023-03-30 18:57:35,55.7435,-97.8558,12.36,44,12.66
